Package,Version
abind,1.4-5
arm,1.11-2
askpass,1.1
assertthat,0.2.1
babynames,1.0.0
backports,1.1.10
base64enc,0.1-3
BH,1.72.0-3
blob,1.2.1
bnlearn,4.6.1
bookdown,0.21
brew,1.0-6
brio,1.1.0
broom,0.7.2
broom.mixed,0.2.6
callr,3.4.4
car,3.0-10
carData,3.0-4
cellranger,1.1.0
checkmate,2.0.0
chk,0.5.1
CholWishart,1.1.0
cli,2.0.2
clipr,0.7.0
coda,0.19-4
colorspace,1.4-1
commonmark,1.7
conquer,1.0.2
covr,3.5.1
cpp11,0.2.2
crayon,1.3.4
crosstalk,1.1.0.1
cubelyr,1.0.0
curl,4.3
data.table,1.13.0
DBI,1.1.0
dbplyr,1.4.4
desc,1.2.0
devtools,2.3.2
DiagrammeR,1.0.6.1
digest,0.6.25
distill,1.1
downlit,0.2.1
downloader,0.4
dplyr,1.0.2
DT,0.15
dttr2,0.3.0
e1071,1.7-4
ellipsis,0.3.1
evaluate,0.14
fansi,0.4.1
farver,2.0.3
fastmap,1.0.1
forcats,0.5.0
foreach,1.5.1
Formula,1.2-4
fs,1.5.0
gapminder,0.3.0
generics,0.0.2
GGally,2.1.0
ggplot2,3.3.2
ggrepel,0.8.2
gh,1.1.0
git2r,0.27.1
glmnet,4.1
glue,1.4.2
gridExtra,2.3
gtable,0.3.0
haven,2.3.1
here,1.0.1
highr,0.8
Hmisc,4.4-2
hms,0.5.3
htmlTable,2.1.0
htmltools,0.5.0
htmlwidgets,1.5.1
httpuv,1.5.4
httr,1.4.2
igraph,1.2.6
influenceR,0.1.0
ini,0.3.1
inline,0.3.16
IntroStatsTutorials,0.0.0.9000
isoband,0.2.2
iterators,1.0.13
jpeg,0.1-8.1
jsonlite,1.7.1
knitr,1.30
labeling,0.3
later,1.1.0.1
latticeExtra,0.6-29
lazyeval,0.2.2
learnr,0.10.1
lifecycle,0.2.0
lme4,1.1-23
lmerTest,3.1-3
loo,2.3.1
lsr,0.5
lubridate,1.7.9
magrittr,1.5
manipulateWidget,0.10.1
mapproj,1.2.7
maps,3.3.0
maptools,1.0-2
markdown,1.1
MatrixModels,0.4-1
matrixStats,0.57.0
mcmc,0.9-7
MCMCpack,1.4-9
mdsr,0.2.0
memoise,1.1.0
mime,0.9
miniUI,0.1.1.1
minqa,1.2.4
modelr,0.1.8
moments,0.14
munsell,0.5.0
mvtnorm,1.1-1
nloptr,1.2.2.2
numDeriv,2016.8-1.1
openssl,1.4.3
openxlsx,4.2.2
patchwork,1.1.1
pbkrtest,0.4-8.6
pillar,1.4.6
pkgbuild,1.1.0
pkgconfig,2.0.3
pkgload,1.1.0
plot.matrix,1.5.2
plyr,1.8.6
png,0.1-7
praise,1.0.0
prettyunits,1.1.1
processx,3.4.4
progress,1.2.2
promises,1.1.1
ps,1.3.4
purrr,0.3.4
quantreg,5.73
R6,2.4.1
randomForest,4.6-14
rappdirs,0.3.1
rcmdcheck,1.3.3
RColorBrewer,1.1-2
Rcpp,1.0.5
RcppArmadillo,0.9.900.3.0
RcppEigen,0.3.3.7.0
RcppParallel,5.0.2
readr,1.3.1
readxl,1.3.1
rematch,1.0.1
rematch2,2.1.2
remotes,2.2.0
renv,0.12.0
repr,1.1.0
reprex,0.3.0
reshape,0.8.8
reshape2,1.4.4
revealjs,0.9
rex,1.2.0
rgl,0.104.16
rio,0.5.16
rjson,0.2.20
rlang,0.4.7
rmarkdown,2.5
RMySQL,0.10.20
roxygen2,7.1.1
rprojroot,2.0.2
rstan,2.21.2
rstudioapi,0.11
rtide,0.0.8
rversions,2.0.2
rvest,0.3.6
scales,1.1.1
selectr,0.4-2
sessioninfo,1.1.1
sfsmisc,1.1-8
shape,1.4.5
shiny,1.5.0
skimr,2.1.2
sourcetools,0.1.7
sp,1.4-2
SparseM,1.78
StanHeaders,2.21.0-6
statmod,1.4.34
stringi,1.5.3
stringr,1.4.0
suncalc,0.5.0
sys,3.4
testthat,2.3.2
tibble,3.0.3
tidyr,1.1.2
tidyselect,1.1.0
tidyverse,1.3.0
tinytex,0.26
TMB,1.7.18
tufte,0.9
usethis,1.6.3
utf8,1.1.4
V8,3.4.0
vctrs,0.3.4
viridis,0.5.1
viridisLite,0.3.0
visNetwork,2.0.9
webshot,0.5.2
whisker,0.4
withr,2.3.0
xfun,0.18
xml2,1.3.2
xopen,1.0.0
xtable,1.8-4
yaml,2.2.1
zip,2.1.1
